Date,XOM/CVX,KO/PEP,JPM/BAC,HD/LOW
2025-01-28,0.8740919045338921,1.0264993261111839,0.8025732800849301,1.0106521839479339
2025-01-29,0.8814335186768117,1.0189884484231917,0.799236075035904,1.0106521839479339
2025-01-30,0.8859818065773393,1.0020580637818257,0.7926192209663903,1.0106521839479339
2025-01-31,0.8950030178009354,1.0087770685128001,0.7721734280781293,1.0106521839479339
2025-02-03,0.8956943450607927,1.010068644845224,0.7687027384904301,1.0106521839479339
2025-02-04,0.8956943450607927,1.008358222111933,0.7925218604708417,1.0106521839479339
2025-02-05,0.8956943450607927,1.0053180058230298,0.8072487068095064,1.0106521839479339
2025-02-06,0.8956943450607927,1.000906230050379,0.8230762095997769,1.0106521839479339
2025-02-07,0.8956943450607927,0.9918630829301586,0.8072642791345012,1.0106521839479339
2025-02-10,0.8956943450607927,0.9803974180786654,0.7807268279414299,1.0106521839479339
2025-02-11,0.8956943450607927,0.9364866810026825,0.7758835586594978,1.0106521839479339
2025-02-12,0.8956943450607927,0.9181872162462281,0.7432783699132937,1.0106521839479339
2025-02-13,0.8956943450607927,0.9086663703082414,0.747214148590498,1.0106521839479339
2025-02-14,0.8956943450607927,0.9148434099371212,0.7795582612646501,1.0106521839479339
2025-02-18,0.8956943450607927,0.9136999283349089,0.7468520020600982,1.0106521839479339
2025-02-19,0.8956943450607927,0.9031893529650802,0.7215505072203817,1.0106521839479339
2025-02-20,0.8956943450607927,0.9091891425014005,0.7174757495799363,1.0106521839479339
2025-02-21,0.8956943450607927,0.8995742419050559,0.6990970171512211,1.0106521839479339
2025-02-24,0.8956943450607927,0.9097211460698073,0.6889950418742251,1.0106521839479339
2025-02-25,0.8956943450607927,0.9023080732501665,0.6731509018789302,1.0106521839479339
2025-02-26,0.8956943450607927,0.9032155101976483,0.6695157785290591,1.0106521839479339
2025-02-27,0.8956943450607927,0.9031599700367492,0.6777708183189189,1.0106521839479339
2025-02-28,0.8956943450607927,0.9011998028476447,0.762130376791717,1.0106521839479339
2025-03-03,0.8956943450607927,0.8912280338042494,0.7446759683583892,1.0106521839479339
2025-03-04,0.8956943450607927,0.9146442840904636,0.6189582785040131,1.0106521839479339
2025-03-05,0.8956943450607927,0.9155712188067442,0.6189582785040131,1.0106521839479339
2025-03-06,0.8956943450607927,0.9118028628890756,0.6189582785040131,1.0106521839479339
2025-03-07,0.8956943450607927,0.9011924314812341,0.6189582785040131,1.0095511403358204
2025-03-10,0.8956943450607927,0.9038491172197294,0.6189582785040131,1.0051639838297346
2025-03-11,0.8956943450607927,0.9027899293372716,0.6189582785040131,1.0352225144261689
2025-03-12,0.8956943450607927,0.909978279764173,0.6189582785040131,1.0483420974712465
2025-03-13,0.8956943450607927,0.9144293524790248,0.6189582785040131,1.0351230169828238
2025-03-14,0.8956943450607927,0.9141922573991712,0.6189582785040131,1.0374701259015815
